region1,region2,ratio,common_authors
USSR-ujgur,Czechoslovakia-ukrán,0,0
Czechoslovakia-ukrán,USSR-ukrán,0,0
USSR-ukrán,Czechoslovakia-ukrán,0,0
Czechoslovakia-ukrán,"USSR-ukrán, orosz",0,0
"USSR-ukrán, orosz",Czechoslovakia-ukrán,0,0
Czechoslovakia-ukrán,USSR-észt,0,0
USSR-észt,Czechoslovakia-ukrán,0,0
Czechoslovakia-ukrán,USSR-örmény,0,0
USSR-örmény,Czechoslovakia-ukrán,0,0
Czechoslovakia-ukrán,USSR-üzbég,0,0
USSR-üzbég,Czechoslovakia-ukrán,0,0
Czechoslovakia-ukrán,Vietnam,0,0
Vietnam,Czechoslovakia-ukrán,0,0
GDR,Albania,0.03571428571428571,6
Albania,GDR,1,6
GDR,Bulgaria,0.25595238095238093,43
Bulgaria,GDR,0.6056338028169014,43
GDR,China,0.09523809523809523,16
China,GDR,0.5333333333333333,16
GDR,Cuba,0.02976190476190476,5
Cuba,GDR,1,5
GDR,Czechoslovakia-cseh,0.5178571428571429,87
Czechoslovakia-cseh,GDR,0.58,87
GDR,Czechoslovakia-szlovák,0.49404761904761907,83
Czechoslovakia-szlovák,GDR,0.503030303030303,83
GDR,Czechoslovakia-ukrán,0,0
Czechoslovakia-ukrán,GDR,0,0
GDR,GDR,NA,NA
GDR,Hungary,0.3630952380952381,61
Hungary,GDR,0.41496598639455784,61
GDR,Mongolia,0.017857142857142856,3
Mongolia,GDR,0.6,3
GDR,North Korea,0.005952380952380952,1
North Korea,GDR,1,1
GDR,Poland,0.47619047619047616,80
Poland,GDR,0.5633802816901409,80
GDR,Romania,0.32142857142857145,54
Romania,GDR,0.38571428571428573,54
GDR,USSR-altaji,0.005952380952380952,1
USSR-altaji,GDR,1,1
GDR,USSR-azerbajdzsán,0.05952380952380952,10
USSR-azerbajdzsán,GDR,0.8333333333333334,10
GDR,USSR-baskir,0.005952380952380952,1
USSR-baskir,GDR,1,1
GDR,USSR-csuvas,0.011904761904761904,2
USSR-csuvas,GDR,1,2
GDR,USSR-fehérorosz,0.041666666666666664,7
USSR-fehérorosz,GDR,0.7777777777777778,7
GDR,USSR-finn,0.005952380952380952,1
USSR-finn,GDR,1,1
GDR,USSR-grúz,0.11904761904761904,20
USSR-grúz,GDR,0.8333333333333334,20
GDR,USSR-kazah,0.05357142857142857,9
USSR-kazah,GDR,0.9,9
GDR,USSR-kirgiz,0.03571428571428571,6
