szerzo,count 1,wiki,évek,jegyzet,sex,dateOfBirth,placeOfBirth,placeOfBirthX,placeOfBirthY,dateOfDeath,placeOfDeath,placeOfDeathX,placeOfDeathY,viaf,gndID
BOLDIZSÁR Iván,7,https://www.wikidata.org/wiki/Q833879,NA,NA,férfi,1912-10-30,Budapest,19.040833333,47.498333333,1988-12-22,Budapest,19.040833333,47.498333333,85767479,118856588
BÖLÖNYI György,1,https://www.wikidata.org/wiki/Q855139,NA,BölöNi,férfi,1882-10-30,Szilágysomlyó,22.8,47.23,1959-09-11,Budapest,19.040833333,47.498333333,41966155,128227400
BÓNYI Adorján,3,https://www.wikidata.org/wiki/Q854958,NA,NA,férfi,1892-01-01,Margitta,22.333333333,47.35,1967-01-01,Budapest,19.040833333,47.498333333,79015456,NA
BOR Ambrus,1,https://www.wikidata.org/wiki/Q834662,NA,NA,férfi,1921-10-31,Gödöllő,19.366666666,47.6,1995-05-18,Budapest,19.040833333,47.498333333,10453827,1049295927
BORBÉLY László,2,https://www.wikidata.org/wiki/Q834746,NA,NA,férfi,1905-04-21,Budapest,19.040833333,47.498333333,2002-04-01,Budapest,19.040833333,47.498333333,121427666,170424448
BORDA Gábor,1,NA,1955,PUBLDATA mokka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BORGOMANERI, Aldo",1,NA,NA,RESOLVE NEM SZERZŐ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BORNEMISZA Péter,11,https://www.wikidata.org/wiki/Q835071,NA,NA,férfi,1535-02-22,Pest,19.1,47.5,1584-01-01,Nádasfő,17.16583333,48.45833333,24626739,122970012
BOROS Éva,1,NA,1911-,"mokka , https://www.kirkusreviews.com/book-reviews/a/eva-boros/the-mermaids/ RESOLVE nem látszik, hogy ez megjelent volna magyarul, tehát nem biztos, hogy hozzánk tartozik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOROSS Mihály,1,https://www.wikidata.org/wiki/Q30611496,NA,NA,férfi,1877-12-30,Celldömölk,17.1525,47.2575,1945-01-08,NA,NA,NA,NA,NA
